Filename: 1.yml Accuracy: 0.1287 Gain: 28.71% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1559 Gain: 55.94% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1188 Gain: 18.81% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1386 Gain: 38.61% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1040 Gain: 3.96% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 64}
Filename: 1.yml Accuracy: 0.1139 Gain: 13.86% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 64}
Filename: 1.yml Accuracy: 0.0891 Gain: -10.89% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 64}
Filename: 1.yml Accuracy: 0.1040 Gain: 3.96% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1436 Gain: 43.56% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1411 Gain: 41.09% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1460 Gain: 46.04% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1089 Gain: 8.91% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1238 Gain: 23.76% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1188 Gain: 18.81% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
Filename: 1.yml Accuracy: 0.1460 Gain: 46.04% {'num_labels': 10, 'image_size': 28, 'num_iter': 1000, 'k': 5, 'c1': 8, 'c2': 16, 'p': 256}
